Organisme	démarches	dossiers
Préfecture des Bouches-du-Rhône, ministère de l'Intérieur	1	105
Conseil départemental 62	4	105
Direction Régionale et Interdépartementale de l'Environnement, de l'Aménagement et des Transports d'Île-de-France	3	105
DREETS-GE	2	104
ARS - Centre Val de Loire	1	103
CMA IDF 	1	102
DDETSPP 32	2	102
Registre de preuve de covoiturage 	1	102
DDT de la Drôme	2	99
Direction Départementale des Territoires de l'Ain	4	99
DRAJES Mayotte	7	99
DRAAF / DRAC Occitanie	6	99
CPAM des Yvelines	1	98
DREETS Centre-Val-de-Loire	2	98
DRAFPICA - Direction régionale académique de la formation professionnelle initiale et continue Région académique Occitanie	3	98
Département de la Sarthe	2	96
Préfecture de région Île-de-France et Paris,Ministère de la Transition écologique et de la Cohésion des territoires	1	95
DRAC Île-de-France	1	95
Préfecture de la region Centre Val-de-Loire	1	95
Agence nationale de cohésion des territoires	1	94
DREAL Normandie 	2	93
Direction départementale des territoires et de la mer	3	92
ministère de la Justice	2	92
ARS ile de France	1	90
DREETS Auvergne-Rhône-Alpes	2	90
Urssaf Auvergne	4	89
Direction Régionale de l'Alimentation, de l'Agriculture et de la Forêt de Nouvelle-Aquitaine, Ministère de l'agriculture et de la Souveraineté alimentaire	1	88
DAAF GUADELOUPE	1	87
Direction Générale de l'Aménagement, du Logement et de la Nature, Ministère de la Transition Ecologique et de la Cohésion des Territoires	1	86
Direction Départementale des Territoires des Hautes-Alpes	1	85
DGITM/DST/TR6	1	84
Service protection des publics vulnérables et intégration	1	84
Plan d'Investissement dans les Compétences (PIC)	1	83
DREETS Nouvelle Aquitaine	1	83
Agence nationale de la Cohésion des territoires	7	83
DDTM des Landes	1	82
Direction régionale de l'économie, de l'emploi, du travail et des solidarités de Normandie	2	82
DRAAF Hauts-de-France	8	82
Direction Générale de la Coordination et de l'Animation Territoriale	4	81
Préfecture de la Haute-Loire	5	80
Direction interministérielle du numérique	9	80
PREFECTURE DE L ESSONNE	1	79
URSSAF Limousin, CARSAT Centre-ouest, CAF de la Corrèze, CPAM de la Corrèze	1	78
Agence Régionale de Santé Nouvelle-Aquitaine	3	78
SGC34 / SID RH / unité action sociale	4	78
Service du Premier ministre	1	77
URSSAF FRANCHE-COMTE 	1	77
DRIEETS d’Île-de-France et DRIHL d’Île-de-France	2	77
DDT02	3	77
Ministère de l'Economie, des Finances et de la Relance	2	77
ARS Nouvelle-Aquitaine, Ministère de la santé et de la prévention	1	76
UD DRIHL 93,	1	76
CORSE	1	75
DDT 58	1	75
DDETSPP de la Haute-Vienne	1	75
DREETS Nouvelle-Aquitaine	3	75
Préfecture de la Guadeloupe	10	75
Agence du Service Civique	1	74
Communauté d'Agglomération du Bassin d'Aurillac	1	74
DRIEETS UD 92, Préfecture des Hauts de Seine, ministère de l'Intérieur et des Outre-mer	2	73
Direction départementale des territoires de l'Isère	4	73
ARS Île-de-France	2	73
Prefecture des Yvelines	2	73
Direction Départementale des Territoires du Puy-de-Dôme	2	72
IRA de Bastia	1	72
Direction régionale de la Réunion	1	72
Sous-Préfecture de Narbonne	1	71
Ministère de la Transition écologique et de la Cohésion des territoires	1	71
Délégation interministérielle à l’hébergement et à l’accès au logement	2	71
Services du Premier ministre	2	71
Direction départementale des territoires du Doubs	4	71
Caisse des Dépôts et Consignations	2	71
Préfecture de la Charente Maritime	4	71
Urssaf de Corse	2	71
Délégation régionale académique à la jeunesse, à l’engagement et aux sports (IDF)	2	71
Direction régionale de l’environnement, de l’aménagement et du logement de Bretagne	1	70
Direction Départementale des Territoires des Vosges	4	70
Siéml	1	69
ARS	2	69
DRAAF Normandie	8	69
Direction Départementale de la Protection des populations du Pas-de-Calais	1	68
Unité Prévention de la Pauvreté et Lutte contre les Exclusions, Ministère des Solidarités de l'Autonomie et des Personnes handicapées	2	68
SPR	3	68
Ministère de l'agriculture et de la souveraineté alimentaire 	3	68
Direction départementale des territoires, Préfecture de l'Isère, Ministère de l'Agriculture et de la Souveraineté Alimentaire	1	67
DDT du Loiret	2	67
Mairie de Pornic	1	66
MINISTERE DE LA SANTE	1	66
DREETS Centre-Val de Loire	6	65
Mission French Tech	2	64
Direction départementale des Territoires de Maine-et-Loire	2	64
Préfecture des Hauts-de-Seine, Ministère de l'Intérieur	1	63
DDT du Rhône, MASA	1	63
Direction départementale des territoires de l'Aisne	3	63
DREETS Auvergne - Rhône-Alpes	2	62
DIRECCTE Occitanie,  ESP COMPANS CAFFARELLI 31000 TOULOUSE 	2	62
Préfecture d'Ille-et-Vilaine	3	62
Direction départementale des Territoires du Haut-Rhin - Service Transports Risques et Sécurité - Bureau gestion de crise, transports, bruit, publicité	1	61
DDTM 40, Préfecture 40, DREAL Nouvelle Aquitaine, DGPR, Ministère de la Transition Ecologique	1	61
Pôle emploi PACA, DREETS PACA	2	61
ARS Bretagne	3	61
Université de nantes	1	59
Direction départementale des territoires de la Haute-Garonne	1	59
Préfecture de la Meuse 	1	59
Préfecture des Bouches du Rhone	2	59
DREETS de Normandie	4	59
Haut-Commissariat de la République en Polynésie française	3	59
CONSEIL DEPARTEMENTAL DE LA GUADELOUPE	3	59
Préfecture de la Réunion	11	59
Agence Autonomy	2	58
Préfecture de la région Hauts-de-France	3	58
Direction régionale de l'économie, de l'emploi, du travail et des solidarités	8	58
DRIEETS 94	1	57
Direction Départementale des Territoires du Cantal	1	57
Ecole nationale supérieure d'architecture de Paris-Est, ministère de la Culture	1	57
DREAL Centre-Val de Loire	1	57
Direction Départementale des Territoires et de la Mer des Bouches-du-Rhône	2	57
DREETS HAUTS-DE-FRANCE	4	57
Direction Départementale des Territoires et de la Mer d'Ille-et-Vilaine, Préfceture d'Ille-et-Vilaine	1	56
DDTM Ille-et-Vilaine	2	56
Direction Départementale des Territoires de Savoie	2	56
Bpifrance 	2	56
Délégation mer et littoral, direction départementale des territoires et de la mer de Loire Atlantique, préfecture de Loire Atlantique, MTECT	1	55
Direction Départementale des Territoires d'Indre et Loire	1	54
Unité départementale du Val-de-Marne, DRIEETS d'Ile-de-France	1	54
Pornic agglo Pays de Retz	9	54
Direction départementale des térritoires et de la mer du Nord, Prefecture du Nord, Ministère de l'interieur 	1	53
DIRECTION DEPARTEMENTALE DES TERRITOIRES DE L'AVEYRON	2	53
Conseil Départemental GUADELOUPE	4	53
Direction départementale des territoires, préfecture de Côte d'Or, Ministère de l'agriculture	1	52
Unité sécurité et circulation routières	2	52
DRAAF Grand Est	2	52
DLPAJ	2	52
ARS PACA; ministère de la santé et préventions	1	51
DDETS 91	1	51
SRFD - unité FPCA	1	51
Service formation et développement, direction de l'alimentation de l'agriculture et de la forêt de la Réunion, ministère de l'agriculture et de la souveraineté alimentaire	2	51
DREETS Normandie	4	51
